,title,authors,manufacturer,rank,price,currency,reldate,page,language
B00BGIQS1A,Amazon Kindle 5W USB Power Adapter,,"Amazon Digital Services, Inc",,,,2013-09-30,,
B00BMSDG9G,"Transformations: Stories of Success from Authors, Innovators, and Small Businesses Thriving on Amazon",,,,,,2013-02-27,57,English
B00BOW41P8,"NYTimes - Breaking Local, National & World News",,The New York Times,,0,USD,2017-02-14,,English
B00BPXLN6G,287 Happiness Quotes: Inspiration to Fuel Your Pursuit of a Happy and Fulfilled Life (Inspirational Quotes),,Better Life Publishers,1853241,,,2013-03-04,287,English
B00BVSCG3Y,101 Kids Choice Knock Knock Jokes,,Ron G,1895407,,,2013-03-17,43,English
B00BWL33H8,"Moshi Mythro Earbuds with Headset Microphone, Gunmetal Gray",,Moshi,,,,,,
B00BYH3TTM,"LifeForm Capacitive Stylus for Kindle Fire, Kindle Paperwhite and other Touchscreen Devices, Purple",,"Lifeform, Inc.",,,,,,
B00BYH3Y6U,"PUNCHCASE By Leslie Hsu Colbie Zipper Clutch for All Kindle E-readers and All 7"" Kindle Fire Tablets , Black Bubble Lamb Leather",,Punchcase (Kindle Accessories),,,,,,
B00C9QOJP0,Backwoods Home Magazine #111 - May/June 2008,,Backwoods Home Magazine,1406278,,,2008-05-01,208,English
B00CP82E18,"Zeiss LCD Clean Screen Wipes, 20 count",,Zeiss,,500,USD,,,
B00CP82G0C,Zeiss LCD Screen Gel Cleaning Kit (compatible with all Kindle and Fire models),,Zeiss,,,,,,
B00CV85G4E,Top 50 Most Delicious Grilled Cheese Sandwich & Panini Recipes (Recipe Top 50's Book 3),,,122008,,,2013-05-17,92,English
B00CXADBRY,"Moshi AirFoil Screen Protector for Kindle Paperwhite, Kindle, and Kindle Keyboard (2 Pack)",,Moshi,,,,,,
B00CXADBS8,"Moshi AirFoil Screen Protector for Kindle Paperwhite, Kindle, and Kindle Keyboard (1 Pack)",,Moshi,,,,,,
B00D6T5NCW,Anything She Wants,,Ladylit,824155,,,2013-06-03,103,English
B00D6W68KU,Flying Lucky,,B.K. Bryans,450169,,,2013-06-03,165,English
B00DIEYL3C,"OtterBox Defender Series Protective Case for Kindle Paperwhite, Black",,Otter Box,,,,,,
B00DP47WPY,Top 50 Most Delicious Homemade Sorbet Recipes (Recipe Top 50's Book 11),,Otherworld Publishing,171569,,,2013-06-27,82,English
B00DQGIHR8,2-Year SquareTrade Warranty plus Accident Protection for All-New Kindle Paperwhite 3G,,"Square Trade, Inc.",,,,2013-08-01,,
B00DQGIHZ0,2-Year Protection Plan plus Accident Coverage for Kindle Fire HDX Wi-Fi,,"Square Trade, Inc.",,,,2013-08-01,,
B00DQGII1I,2-Year Protection Plan plus Accident Protection for Kindle Paperwhite,,SquareTrade,,,,2014-08-27,,
B00DQGIIJU,"2-Year Protection Plan plus Accident Coverage for Kindle Fire HDX 8.9"" 4G",,KA Images,,,,2013-08-01,,
B00DQGIIM2,"2-Year Protection Plan plus Accident Coverage for Kindle Fire HDX 8.9"" Wi-Fi",,KA Images,,,,2013-08-01,,
B00DQZNPAS,"MarBlue Slim Hybrid Standing Case for Kindle Fire HDX 7, Purple",,MarBlue (Kindle Accessories),,,,,,
B00DQZNWNI,"MarBlue Ultra Lightweight Origin Case for Kindle Fire HDX 7"", Black",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZNZDU,"MarBlue Ultra Lightweight Origin Case for Kindle Fire HDX 7"", Purple",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZO3JK,"MarBlue Ultra Lightweight Origin Case for Kindle Fire HDX 7"", Lime Green",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZOD8Q,Belkin Chambray Cover for Amazon Kindle Fire HDX (Only Fits Kindle Fire HDX 7-Inch),,Belkin Inc.,,,,2013-10-16,,
B00DQZOIOU,"Zipper Case for Kindle Fire HDX 7"" by Incipio, Black (does not fit previous generation)",,Incipio (Kindle Accessories),,,,,,
B00DQZP7X6,OTTERBOX 77-33645 DEFENDER SERIES BLK FOR,,Otter Box,,,,,,
B00DQZPCTA,"Incipio Hive Response Standing Case for Kindle Fire HDX 7"", Black",,Incipio (Kindle Accessories),,,,,,
B00DQZPM72,"Atlas Waterproof Case for Kindle Fire HDX 7"" by Incipio, Purple",,Incipio (Kindle Accessories),,5000,USD,,,
B00DQZQ032,"Buffalo Clear Screen Protector Kit for Kindle Fire HDX 7"" (will only fit Kindle Fire HDX 7""), 2 pack",,Buffalo (Kindle Accessories),,,,2013-10-16,,
B00DQZQ16S,"MarBlue Clear Screen Protector Kit for Kindle Fire HDX 7"" (will only fit Kindle Fire HDX 7"")",,MarBlue (Kindle Accessories),,,,2013-10-16,,
B00DQZQ5T6,"MarBlue Slim Hybrid Standing Case for the Kindle Fire HD, Black (will only fit 3rd generation)",,MarBlue (Kindle Accessories),,,,,,
B00DQZQPNM,"Belkin Chambray Cover for Kindle Fire HD (will only fit 3rd generation), Blacktop",,Belkin Inc.,,,,2013-10-02,,
B00DQZQVH2,"Zipper Case for the Kindle Fire HD by Incipio, Pink (will only fit 3rd generation)",,MarBlue (Kindle Accessories),,1520,USD,,,
B00DQZRKY0,"OtterBox Defender Standing Case for the Kindle Fire HD, Black (will only fit 3rd generation)",,Otter Box,,,,,,
B00DQZRQPI,"Incipio Hive Response Standing Case for the Kindle Fire HD, Black (will only fit 3rd geenration)",,Incipio (Kindle Accessories),,,,,,
B00DQZSAXU,Incipio Butterfly Kids Case for the Kindle Fire HD 7 (will only fit 3rd generation),,Incipio (Kindle Accessories),,,,,,
B00DQZSBUC,Incipio Firetruck Kids Case for the Kindle Fire HD 7 (will only fit 3rd generation),,Incipio (Kindle Accessories),,,,,,
B00DQZSDPU,"Buffalo Clear Screen Protector Kit for Kindle Fire HD 7 (will only fit 3rd generation), 2 pack",,Buffalo (Kindle Accessories),,,,2013-10-02,,
B00DQZSEWM,MarBlue Clear Screen Protector Kit for the Kindle Fire HD 7 (will only fit 3rd generation),,MarBlue (Kindle Accessories),,,,2013-10-02,,
B00DQZSFSA,MarBlue Anti-Glare Screen Protector Kit for the Kindle Fire HD 7 (will only fit 3rd generation),,MarBlue,325173,,,,,
B00DQZSIW8,"MarBlue Slim Hybrid Standing Case for Kindle Fire HDX 8.9"", Black",,MarBlue (Kindle Accessories),,,,,,
B00DQZT0AC,"MarBlue Ultra Lightweight Origin Case for Fire HDX 8.9, Black (will fit 3rd and 4th generation)",,MarBlue (Kindle Accessories),,,,2013-11-07,,
B00DQZT38G,"Belkin Chambray Cover for Kindle Fire HDX 8.9"" (will only fit Kindle Fire HDX 8.9""), Blacktop",,Belkin Inc.,,,,2013-11-22,,
